name,genre,director,star_1,star_2,star_3,star_4,description
Brother Bear,"Animation, Adventure, Comedy",Aaron Blaise,Robert Walker,Joaquin Phoenix,Jeremy Suarez,Rick Moranis,"$250,397,798"
The Godfather,"Crime, Drama",Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,"$250,341,816"
The Mask of Zorro,"Action, Adventure, Comedy",Martin Campbell,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,José María de Tavira,"$250,288,523"
The Bad Guys,"Animation, Adventure, Comedy",Pierre Perifel,Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson,"$250,162,278"
The Ring,"Horror, Mystery",Gore Verbinski,Naomi Watts,Martin Henderson,Brian Cox,David Dorfman,"$249,348,933"
The Blair Witch Project,"Horror, Mystery",Daniel Myrick,Eduardo Sánchez,Heather Donahue,Michael C. Williams,Joshua Leonard,"$248,639,099"
Unbreakable,"Drama, Mystery, Sci-Fi",M. Night Shyamalan,Bruce Willis,Samuel L. Jackson,Robin Wright,Spencer Treat Clark,"$248,118,121"
Love Actually,"Comedy, Drama, Romance",Richard Curtis,Hugh Grant,Martine McCutcheon,Liam Neeson,Laura Linney,"$247,933,248"
Journey to the West: Demon Chapter,"Adventure, Comedy, Fantasy",Hark Tsui,Kris Wu,Kenny Lin,Chen Yao,Yun Lin,"$247,585,244"
Dumb and Dumber,Comedy,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,"$247,290,327"
Glass,"Drama, Horror, Sci-Fi",M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Anya Taylor-Joy,"$246,999,039"
Grown Ups 2,Comedy,Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,David Spade,"$246,984,278"
The Peanuts Movie,"Animation, Adventure, Comedy",Steve Martino,Noah Schnapp,Bill Melendez,Hadley Belle Miller,Francesca Capaldi,"$246,233,113"
Rango,"Animation, Action, Adventure",Gore Verbinski,Johnny Depp,Isla Fisher,Timothy Olyphant,Abigail Breslin,"$245,724,603"
Four Weddings and a Funeral,"Comedy, Drama, Romance",Mike Newell,Hugh Grant,Andie MacDowell,James Fleet,Simon Callow,"$245,700,832"
Face/Off,"Action, Crime, Sci-Fi",John Woo,John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola,"$245,676,146"
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy",Dave Green,Megan Fox,Will Arnett,Tyler Perry,Laura Linney,"$245,623,848"
Dark Shadows,"Comedy, Fantasy, Horror",Tim Burton,Johnny Depp,Michelle Pfeiffer,Eva Green,Helena Bonham Carter,"$245,527,149"
Hulk,"Action, Sci-Fi",Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas,"$245,285,165"
Lie huo ying xiong,"Action, Drama",Tony Chan,Xiaoming Huang,Jiang Du,Zhuo Tan,Zi Yang,"$245,179,562"
Bienvenue chez les Ch'tis,"Comedy, Romance",Dany Boon,Kad Merad,Dany Boon,Zoé Félix,Lorenzo Ausilia-Foret,"$245,144,417"
Back to the Future Part III,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Tom Wilson,"$245,077,583"
Pixels,"Action, Comedy, Fantasy",Chris Columbus,Adam Sandler,Kevin James,Michelle Monaghan,Peter Dinklage,"$244,874,809"
Hercules,"Action, Adventure, Fantasy",Brett Ratner,Dwayne Johnson,John Hurt,Ian McShane,Joseph Fiennes,"$244,819,862"
Rush Hour,"Action, Comedy, Crime",Brett Ratner,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,"$244,721,064"
Journey to the Center of the Earth,"Action, Adventure, Family",Eric Brevig,Brendan Fraser,Josh Hutcherson,Anita Briem,Seth Meyers,"$244,232,688"
After Earth,"Action, Adventure, Sci-Fi",M. Night Shyamalan,Jaden Smith,David Denman,Will Smith,Sophie Okonedo,"$243,611,982"
A Few Good Men,"Drama, Thriller",Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,"$243,240,178"
Cloudy with a Chance of Meatballs,"Animation, Adventure, Comedy",Phil Lord,Christopher Miller,Anna Faris,Bill Hader,Bruce Campbell,"$243,006,126"
8 Mile,"Drama, Music",Curtis Hanson,Eminem,Brittany Murphy,Kim Basinger,Mekhi Phifer,"$242,875,078"
Daddy's Home,"Comedy, Family",Sean Anders,Will Ferrell,Mark Wahlberg,Linda Cardellini,Thomas Haden Church,"$242,786,137"
RoboCop,"Action, Crime, Sci-Fi",José Padilha,Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,"$242,688,965"
Eraser,"Action, Crime, Thriller",Chuck Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,James Coburn,"$242,295,562"
Alien: Covenant,"Horror, Sci-Fi, Thriller",Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride,"$240,891,763"
Sully,"Biography, Drama",Clint Eastwood,Tom Hanks,Aaron Eckhart,Laura Linney,Valerie Mahaffey,"$240,797,623"
Assassin's Creed,"Action, Adventure, Sci-Fi",Justin Kurzel,Michael Fassbender,Marion Cotillard,Jeremy Irons,Brendan Gleeson,"$240,697,856"
Click,"Comedy, Drama, Fantasy",Frank Coraci,Adam Sandler,Kate Beckinsale,Christopher Walken,David Hasselhoff,"$240,685,326"
Jiang Ziya,"Animation, Action, Adventure",Teng Cheng,Li Wei,Guanlin Ji,Guangtao Jiang,Yan Meme,"$240,646,355"
Planes,"Animation, Adventure, Comedy",Klay Hall,Carlos Alazraqui,Dane Cook,Stacy Keach,Brad Garrett,"$240,171,783"
Resident Evil: Retribution,"Action, Horror, Sci-Fi",Paul W.S. Anderson,Milla Jovovich,Sienna Guillory,Michelle Rodriguez,Aryana Engineer,"$240,159,255"
Die Hard 2,"Action, Thriller",Renny Harlin,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson,"$240,031,274"
Crocodile Dundee II,"Action, Adventure, Comedy",John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Ernie Dingo,"$239,606,210"
Bullet Train,"Action, Comedy, Thriller",David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,"$239,268,602"
Crazy Rich Asians,"Comedy, Drama, Romance",Jon M. Chu,Constance Wu,Henry Golding,Michelle Yeoh,Gemma Chan,"$238,843,729"
Batman & Robin,"Action, Sci-Fi",Joel Schumacher,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman,"$238,235,719"
Hauru no ugoku shiro,"Animation, Adventure, Family",Hayao Miyazaki,Chieko Baisho,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,"$237,536,126"
Gulliver's Travels,"Adventure, Comedy, Family",Rob Letterman,Jack Black,Emily Blunt,Jason Segel,Amanda Peet,"$237,382,724"
Gone in Sixty Seconds,"Action, Crime, Thriller",Dominic Sena,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,T.J. Cross,"$237,202,299"
Saturday Night Fever,"Drama, Music",John Badham,John Travolta,Karen Lynn Gorney,Barry Miller,Joseph Cali,"$237,113,184"
Silver Linings Playbook,"Comedy, Drama, Romance",David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,"$236,412,453"
2 Fast 2 Furious,"Action, Crime, Thriller",John Singleton,Paul Walker,Tyrese Gibson,Cole Hauser,Eva Mendes,"$236,350,661"
Hidden Figures,"Biography, Drama, History",Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,"$235,956,898"
A.I. Artificial Intelligence,"Drama, Sci-Fi",Steven Spielberg,Haley Joel Osment,Jude Law,Frances O'Connor,Sam Robards,"$235,926,552"
Dead Poets Society,"Comedy, Drama",Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,"$235,860,116"
Spy,"Action, Comedy",Paul Feig,Melissa McCarthy,Rose Byrne,Jude Law,Jason Statham,"$235,666,219"
American Pie,Comedy,Paul Weitz,Chris Weitz,Jason Biggs,Chris Klein,Thomas Ian Nicholas,"$235,483,004"
American Reunion,Comedy,Jon Hurwitz,Hayden Schlossberg,Jason Biggs,Alyson Hannigan,Seann William Scott,"$234,989,584"
Big Daddy,"Comedy, Drama",Dennis Dugan,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,"$234,801,895"
Alvin and the Chipmunks: The Road Chip,"Animation, Adventure, Comedy",Walt Becker,Jason Lee,Justin Long,Matthew Gray Gubler,Jesse McCartney,"$234,798,636"
The Imitation Game,"Biography, Drama, Thriller",Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,"$233,555,708"
Cruella,"Adventure, Comedy, Crime",Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,Paul Walter Hauser,"$233,503,234"
The Day the Earth Stood Still,"Adventure, Drama, Sci-Fi",Scott Derrickson,Keanu Reeves,Jennifer Connelly,Kathy Bates,Jaden Smith,"$233,093,859"
American Wedding,Comedy,Jesse Dylan,Jason Biggs,Alyson Hannigan,Seann William Scott,Eugene Levy,"$232,722,935"
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,"$232,617,430"
Juno,"Comedy, Drama",Jason Reitman,Elliot Page,Michael Cera,Jennifer Garner,Jason Bateman,"$232,372,681"
Argo,"Biography, Drama, Thriller",Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,"$232,325,503"
Mr. Bean's Holiday,"Comedy, Family",Steve Bendelack,Rowan Atkinson,Willem Dafoe,Steve Pemberton,Lily Atkinson,"$232,225,908"
The English Patient,"Drama, Romance, War",Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,"$231,976,425"
Sister Act,"Comedy, Family, Music",Emile Ardolino,Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena,"$231,605,150"
Annabelle Comes Home,"Horror, Mystery, Thriller",Gary Dauberman,Vera Farmiga,Patrick Wilson,Mckenna Grace,Madison Iseman,"$231,252,591"
Constantine,"Action, Fantasy, Horror",Francis Lawrence,Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf,"$230,884,728"
Get Smart,"Action, Adventure, Comedy",Peter Segal,Steve Carell,Anne Hathaway,Alan Arkin,Dwayne Johnson,"$230,685,453"
Space Jam,"Animation, Adventure, Comedy",Joe Pytka,Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington,"$230,594,962"
La vita è bella,"Comedy, Drama, Romance",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,"$230,098,753"
The Heat,"Action, Comedy, Crime",Paul Feig,Sandra Bullock,Michael McDonald,Melissa McCarthy,Demián Bichir,"$229,930,771"
Ghostbusters,"Action, Comedy, Fantasy",Paul Feig,Melissa McCarthy,Kristen Wiig,Kate McKinnon,Leslie Jones,"$229,147,509"
Ghost Rider,"Action, Fantasy, Thriller",Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott,Matt Long,"$228,738,393"
Xia Luo te fan nao,Comedy,Da-Mo Peng,Fei Yan,Teng Shen,Li Ma,Zheng Yin,"$228,122,928"
Paddington 2,"Adventure, Comedy, Family",Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,"$227,994,792"
Sleepless in Seattle,"Comedy, Drama, Romance",Nora Ephron,Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson,"$227,927,165"
Lethal Weapon 2,"Action, Crime, Thriller",Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Patsy Kensit,"$227,853,986"
The Green Hornet,"Action, Comedy, Crime",Michel Gondry,Seth Rogen,Jay Chou,Christoph Waltz,Cameron Diaz,"$227,817,248"
Out of Africa,"Biography, Drama, Romance",Sydney Pollack,Meryl Streep,Robert Redford,Klaus Maria Brandauer,Michael Kitchen,"$227,514,205"
Elf,"Adventure, Comedy, Family",Jon Favreau,Will Ferrell,James Caan,Bob Newhart,Zooey Deschanel,"$227,356,156"
Fang hua,"Drama, Romance, War",Xiaogang Feng,Xuan Huang,Miao Miao,Caiyu Yang,Elane Zhong,"$227,091,290"
Baby Driver,"Action, Crime, Drama",Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,"$226,945,087"
Immortals,"Action, Drama, Fantasy",Tarsem Singh,Henry Cavill,Mickey Rourke,John Hurt,Stephen Dorff,"$226,904,017"
Taken,"Action, Crime, Thriller",Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,"$226,837,760"
Percy Jackson & the Olympians: The Lightning Thief,"Adventure, Family, Fantasy",Chris Columbus,Logan Lerman,Kevin McKidd,Steve Coogan,Brandon T. Jackson,"$226,497,209"
Lightyear,"Animation, Action, Adventure",Angus MacLane,Chris Evans,Keke Palmer,Peter Sohn,Taika Waititi,"$226,425,420"
Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",Tommy Wirkola,Jeremy Renner,Gemma Arterton,Peter Stormare,Famke Janssen,"$226,349,749"
Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy",Luc Besson,Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna,"$225,973,340"
Good Will Hunting,"Drama, Romance",Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,"$225,933,435"
Shaonian de ni,"Crime, Drama, Romance",Derek Tsang,Dongyu Zhou,Jackson Yee,Fang Yin,Ye Zhou,"$225,918,798"
Ford v Ferrari,"Action, Biography, Drama",James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,"$225,508,210"
Jumper,"Action, Adventure, Sci-Fi",Doug Liman,Hayden Christensen,Samuel L. Jackson,Jamie Bell,Rachel Bilson,"$225,132,113"
The Social Network,"Biography, Drama",David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,"$224,920,375"
Chicken Run,"Animation, Adventure, Comedy",Peter Lord,Nick Park,Mel Gibson,Julia Sawalha,Phil Daniels,"$224,874,811"
Con Air,"Action, Crime, Thriller",Simon West,Nicolas Cage,John Cusack,John Malkovich,Colm Meaney,"$224,012,234"
Interview with the Vampire: The Vampire Chronicles,"Drama, Fantasy, Horror",Neil Jordan,Brad Pitt,Tom Cruise,Antonio Banderas,Kirsten Dunst,"$223,664,608"
Flightplan,"Drama, Mystery, Thriller",Robert Schwentke,Jodie Foster,Peter Sarsgaard,Sean Bean,Kate Beahan,"$223,387,299"
Yes Man,"Comedy, Romance",Peyton Reed,Jim Carrey,Zooey Deschanel,Bradley Cooper,John Michael Higgins,"$223,241,637"
Non-Stop,"Action, Mystery, Thriller",Jaume Collet-Serra,Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,"$222,809,600"
"Honey, I Shrunk the Kids","Adventure, Comedy, Family",Joe Johnston,Rick Moranis,Matt Frewer,Marcia Strassman,Kristine Sutherland,"$222,724,172"
Fahrenheit 9/11,"Documentary, Drama, War",Michael Moore,Michael Moore,George W. Bush,Ben Affleck,Stevie Wonder,"$222,446,882"
Wild Wild West,"Action, Comedy, Sci-Fi",Barry Sonnenfeld,Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek,"$222,104,681"
Wo he wo de fu bei,Drama,Teng Shen,Jing Wu,Zheng Xu,Ziyi Zhang,Jing Wu,"$221,831,086"
Geostorm,"Action, Sci-Fi, Thriller",Dean Devlin,Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara,"$221,600,160"
Presumed Innocent,"Mystery, Thriller",Alan J. Pakula,Harrison Ford,Raul Julia,Greta Scacchi,Brian Dennehy,"$221,303,188"
Jungle Cruise,"Action, Adventure, Comedy",Jaume Collet-Serra,Dwayne Johnson,Emily Blunt,Edgar Ramírez,Jack Whitehall,"$220,889,446"
Scary Movie 3,Comedy,David Zucker,Anna Faris,Charlie Sheen,Regina Hall,Pamela Anderson,"$220,673,217"
Collateral,"Action, Crime, Drama",Michael Mann,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Mark Ruffalo,"$220,239,925"
Inferno,"Action, Adventure, Crime",Ron Howard,Tom Hanks,Felicity Jones,Irrfan Khan,Ben Foster,"$220,021,259"
Knocked Up,"Comedy, Romance",Judd Apatow,Seth Rogen,Katherine Heigl,Paul Rudd,Leslie Mann,"$219,922,417"
Green Lantern,"Action, Adventure, Sci-Fi",Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong,"$219,851,172"
What Happens in Vegas,"Comedy, Romance",Tom Vaughan,Cameron Diaz,Ashton Kutcher,Rob Corddry,Lake Bell,"$219,375,562"
It's Complicated,"Comedy, Drama, Romance",Nancy Meyers,Meryl Streep,Steve Martin,Alec Baldwin,John Krasinski,"$219,103,655"
The Terminal,"Comedy, Drama, Romance",Steven Spielberg,Tom Hanks,Catherine Zeta-Jones,Chi McBride,Stanley Tucci,"$219,100,084"
Little Women,"Drama, Romance",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,"$218,843,645"
Captain Phillips,"Action, Biography, Crime",Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,"$218,791,811"
The Prince of Egypt,"Animation, Adventure, Drama",Brenda Chapman,Steve Hickner,Simon Wells,Val Kilmer,Ralph Fiennes,"$218,613,188"
Jack Reacher,"Action, Mystery, Thriller",Christopher McQuarrie,Tom Cruise,Rosamund Pike,Richard Jenkins,Werner Herzog,"$218,340,595"
Kingdom of Heaven,"Action, Adventure, Drama",Ridley Scott,Orlando Bloom,Eva Green,Liam Neeson,Martin Hancock,"$218,122,627"
The Emoji Movie,"Animation, Adventure, Comedy",Tony Leondis,T.J. Miller,James Corden,Anna Faris,Maya Rudolph,"$217,776,646"
Zhe ge sha shou bu tai leng jing,Comedy,Wenxiong Xing,Ru Qian,Li Ma,Xiang Wei,Minghao Chen,"$217,254,604"
Dracula Untold,"Action, Drama, Fantasy",Gary Shore,Luke Evans,Dominic Cooper,Sarah Gadon,Art Parkinson,"$217,124,280"
Central Intelligence,"Action, Comedy, Crime",Rawson Marshall Thurber,Dwayne Johnson,Kevin Hart,Danielle Nicolet,Amy Ryan,"$216,972,543"
Million Dollar Baby,"Drama, Sport",Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,"$216,763,646"
The Help,Drama,Tate Taylor,Viola Davis,Emma Stone,Octavia Spencer,Bryce Dallas Howard,"$216,639,112"
Twins,"Comedy, Crime",Ivan Reitman,Arnold Schwarzenegger,Danny DeVito,Kelly Preston,Chloe Webb,"$216,614,388"
Valentine's Day,"Comedy, Romance",Garry Marshall,Julia Roberts,Jamie Foxx,Anne Hathaway,Jessica Alba,"$216,528,528"
Bad Teacher,"Comedy, Romance",Jake Kasdan,Cameron Diaz,Jason Segel,Justin Timberlake,Lucy Punch,"$216,197,492"
Smile,"Horror, Mystery, Thriller",Parker Finn,Sosie Bacon,Jessie T. Usher,Kyle Gallner,Robin Weigert,"$216,135,048"
Song ni yi duo xiao hong hua,"Drama, Family",Yan Han,Jackson Yee,Haocun Liu,Yalin Gao,Yuanyuan Zhu,"$216,000,000"
The Croods: A New Age,"Animation, Adventure, Comedy",Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,Catherine Keener,"$215,905,815"
Clear and Present Danger,"Action, Crime, Drama",Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,"$215,887,717"
One Hundred and One Dalmatians,"Animation, Adventure, Comedy",Clyde Geronimi,Hamilton Luske,Wolfgang Reitherman,Rod Taylor,Betty Lou Gerson,"$215,880,014"
Ted 2,Comedy,Seth MacFarlane,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,"$215,863,606"
Dracula,"Drama, Fantasy, Horror",Francis Ford Coppola,Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves,"$215,862,692"
Vertical Limit,"Action, Adventure, Drama",Martin Campbell,Scott Glenn,Chris O'Donnell,Bill Paxton,Robin Tunney,"$215,663,859"
Ghostbusters II,"Action, Comedy, Fantasy",Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,"$215,394,738"
The Patriot,"Action, Drama, History",Roland Emmerich,Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs,"$215,294,342"
The Sorcerer's Apprentice,"Action, Adventure, Family",Jon Turteltaub,Nicolas Cage,Jay Baruchel,Alfred Molina,Teresa Palmer,"$215,283,742"
Just Go with It,"Comedy, Romance",Dennis Dugan,Adam Sandler,Jennifer Aniston,Brooklyn Decker,Nicole Kidman,"$214,945,591"
The Expendables 3,"Action, Adventure, Thriller",Patrick Hughes,Sylvester Stallone,Jason Statham,Jet Li,Antonio Banderas,"$214,657,577"
Dirty Dancing,"Drama, Music, Romance",Emile Ardolino,Patrick Swayze,Jennifer Grey,Jerry Orbach,Cynthia Rhodes,"$214,577,242"
Creed II,"Action, Drama, Sport",Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,"$214,215,889"
Smallfoot,"Animation, Adventure, Comedy",Karey Kirkpatrick,Jason Reisig,Channing Tatum,James Corden,Zendaya,"$214,115,531"
Public Enemies,"Action, Biography, Crime",Michael Mann,Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke,"$214,104,620"
The Bourne Identity,"Action, Mystery, Thriller",Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,"$214,034,224"
Disclosure,"Drama, Thriller",Barry Levinson,Michael Douglas,Demi Moore,Donald Sutherland,Caroline Goodall,"$214,015,089"
Pulp Fiction,"Crime, Drama",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,"$213,928,762"
The Aviator,"Biography, Drama",Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,"$213,719,942"
Wo hu cang long,"Action, Adventure, Drama",Ang Lee,Chow Yun-Fat,Michelle Yeoh,Ziyi Zhang,Chang Chen,"$213,525,736"
Braveheart,"Biography, Drama, History",Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,"$213,216,216"
Into the Woods,"Adventure, Comedy, Drama",Rob Marshall,Anna Kendrick,Meryl Streep,Chris Pine,Emily Blunt,"$212,902,372"
Bedtime Stories,"Adventure, Comedy, Family",Adam Shankman,Adam Sandler,Keri Russell,Courteney Cox,Guy Pearce,"$212,874,864"
Miss Congeniality,"Action, Comedy, Crime",Donald Petrie,Sandra Bullock,Michael Caine,Benjamin Bratt,Candice Bergen,"$212,742,720"
Entrapment,"Action, Crime, Romance",Jon Amiel,Sean Connery,Catherine Zeta-Jones,Ving Rhames,Will Patton,"$212,404,396"
Ace Ventura: When Nature Calls,"Adventure, Comedy, Crime",Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,"$212,385,533"
End of Days,"Action, Fantasy, Horror",Peter Hyams,Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney,Kevin Pollak,"$211,989,043"
Bridget Jones's Baby,"Comedy, Drama, Romance",Sharon Maguire,Renée Zellweger,Gemma Jones,Jim Broadbent,Sally Phillips,"$211,952,420"
Fury,"Action, Drama, War",David Ayer,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,"$211,822,697"
Battle: Los Angeles,"Action, Adventure, Sci-Fi",Jonathan Liebesman,Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan,Ramón Rodríguez,"$211,819,354"
Australia,"Adventure, Drama, Romance",Baz Luhrmann,Nicole Kidman,Hugh Jackman,Shea Adams,Eddie Baroo,"$211,787,511"
Due Date,"Comedy, Drama",Todd Phillips,Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan,Jamie Foxx,"$211,780,824"
Master and Commander: The Far Side of the World,"Action, Adventure, Drama",Peter Weir,Russell Crowe,Paul Bettany,Billy Boyd,James D'Arcy,"$211,622,535"
A Series of Unfortunate Events,"Adventure, Comedy, Family",Brad Silberling,Jim Carrey,Jude Law,Meryl Streep,Liam Aiken,"$211,468,235"
The Little Mermaid,"Animation, Adventure, Comedy",Ron Clements,John Musker,Jodi Benson,Samuel E. Wright,Rene Auberjonois,"$211,343,479"
Qi ji · Ben xiao hai,"Comedy, Drama",Muye Wen,Jackson Yee,Yu Tian,Halin Chen,Xi Qi,"$211,019,042"
District 9,"Action, Sci-Fi, Thriller",Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,"$210,888,950"
Moonraker,"Action, Adventure, Sci-Fi",Lewis Gilbert,Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel,"$210,308,099"
The Others,"Horror, Mystery, Thriller",Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,"$209,947,037"
Horrible Bosses,"Comedy, Crime",Seth Gordon,Jason Bateman,Charlie Day,Jason Sudeikis,Steve Wiebe,"$209,838,559"
Hou lai de wo men,"Drama, Romance",Rene Liu,Boran Jing,Dongyu Zhou,Zhuangzhuang Tian,Zheming Qu,"$209,221,380"
Red Dragon,"Crime, Drama, Thriller",Brett Ratner,Anthony Hopkins,Edward Norton,Ralph Fiennes,Harvey Keitel,"$209,196,298"
Tomorrowland,"Action, Adventure, Family",Brad Bird,George Clooney,Britt Robertson,Hugh Laurie,Raffey Cassidy,"$209,035,668"
Me Before You,"Drama, Romance",Thea Sharrock,Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance,"$208,314,186"
Safe House,"Action, Thriller",Daniel Espinosa,Denzel Washington,Ryan Reynolds,Robert Patrick,Vera Farmiga,"$208,076,205"
S.W.A.T.,"Action, Adventure, Crime",Clark Johnson,Samuel L. Jackson,Colin Farrell,Michelle Rodriguez,LL Cool J,"$207,725,639"
The Fast and the Furious,"Action, Crime, Thriller",Rob Cohen,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,"$207,517,509"
Traffic,"Crime, Drama, Thriller",Steven Soderbergh,Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,Jacob Vargas,"$207,515,725"
DC League of Super-Pets,"Animation, Action, Adventure",Jared Stern,Sam J. Levine,Dwayne Johnson,Kevin Hart,Kate McKinnon,"$207,357,117"
Paranormal Activity 3,"Horror, Mystery",Henry Joost,Ariel Schulman,Chloe Csengery,Jessica Tyler Brown,Christopher Nicholas Smith,"$207,039,844"
Philadelphia,Drama,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,"$206,678,440"
The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller",Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,Sarah Catherine Hook,"$206,431,050"
Sleepy Hollow,"Fantasy, Horror, Mystery",Tim Burton,Johnny Depp,Christina Ricci,Miranda Richardson,Michael Gambon,"$206,071,502"
The Holiday,"Comedy, Romance",Nancy Meyers,Kate Winslet,Cameron Diaz,Jude Law,Jack Black,"$205,850,169"
The Jungle Book,"Animation, Adventure, Comedy",Wolfgang Reitherman,Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman,"$205,843,612"
Nou fo,"Action, Adventure, Crime",Benny Chan,Donnie Yen,Nicholas Tse,Lan Qin,Angus Yeung,"$205,842,393"
London Has Fallen,"Action, Thriller",Babak Najafi,Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,"$205,754,447"
The Break-Up,"Comedy, Drama, Romance",Peyton Reed,Jennifer Aniston,Vince Vaughn,Jon Favreau,Joey Lauren Adams,"$205,668,210"
